"The Fifth Estate","Julian Assange","You don't get far in this world by relying on others. People are loyal until It seems opportune not to be."
"One Piece","Great Staff Officer - Tsuru","Poverty and money can change people."
"One Piece","Monkey D. Garp","Those who waver are weak."
"One Piece","Monkey D. Garp","Don't live in the past, you idiot! I taught you to live in the moment!"
"Robin Williams Inside My Mind","Robin Williams","I believe that cocaine is God's way of saying, You're making too much money."
"Dead Poets Society","John Keating","Carpe, Carpe diem. Seize the day, boys. Make your lives extraordinary."
"How I Met Your Mother","Ted Mosby", "When it's after 2:00 a.m., just go to sleep because the decisions you make after 2:00 a.m. are the wrong decisions."
"How I Met Your Mother","Lily Aldrin","But there are certain things in life where you know it's a mistake but you don't really know it's a mistake because the only way to really know it's a mistake is to make the mistake, and look back, and say, "Yep. That was a mistake." So, really, the bigger mistake would be to not make the mistake, because then you go your whole life not really knowing if something is a mistake or not."
"How I Met Your Mother","Ted Mosby","Here's the thing about mistakes. Sometimes, even when you know something's a mistake, you gotta make it anyway."
"super/natural, Strange Relations","Benedict Cumberbatch","You don't have to be big and tough to survive. What you really need are friends."
